show_id,listed_in_1,listed_in_2,listed_in_3
s657,International Movies,Music & Musicals,Romantic Movies
s658,Reality TV,TV Action & Adventure,TV Mysteries
s659,International TV Shows,Romantic TV Shows,TV Dramas
s660,International TV Shows,Romantic TV Shows,TV Dramas
s661,TV Action & Adventure,TV Dramas,TV Sci-Fi & Fantasy
s662,International TV Shows,TV Comedies,TV Dramas
s663,TV Comedies,null,null
s664,International TV Shows,TV Dramas,null
s665,Kids' TV,null,null
s666,Crime TV Shows,International TV Shows,TV Dramas
s667,International TV Shows,Romantic TV Shows,TV Comedies
s668,TV Comedies,TV Dramas,Teen TV Shows
s669,Crime TV Shows,TV Dramas,null
s670,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
s671,Action & Adventure,Anime Features,International Movies
s672,Action & Adventure,Anime Features,International Movies
s673,Action & Adventure,Anime Features,International Movies
s674,International TV Shows,Reality TV,Spanish-Language TV Shows
s675,TV Dramas,null,null
s676,International TV Shows,Reality TV,Romantic TV Shows
s677,Crime TV Shows,TV Dramas,TV Mysteries
s678,TV Comedies,null,null
s679,Crime TV Shows,TV Dramas,TV Thrillers
s680,Crime TV Shows,International TV Shows,TV Dramas
s681,Docuseries,null,null
s682,British TV Shows,Docuseries,null
s683,International TV Shows,TV Comedies,null
s684,Dramas,International Movies,null
s685,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
s686,Dramas,null,null
s687,International TV Shows,Korean TV Shows,TV Comedies
s688,Action & Adventure,Dramas,International Movies
s689,Comedies,International Movies,Romantic Movies
s690,Action & Adventure,Anime Features,Classic Movies
s691,Action & Adventure,International Movies,null
s692,International TV Shows,TV Comedies,null
s693,International TV Shows,Romantic TV Shows,TV Dramas
s694,Comedies,Dramas,International Movies
